generic id,generic name,slug,drug class,indication
1877,Conjugated Estrogen + Bazedoxifene,conjugated-estrogen-bazedoxifene-1877,Female Sex hormones,Osteoporosis
304,Conjugated Estrogen (Tablet),conjugated-estrogen-tablet-304,Female Sex hormones,Vaginal dryness
1780,Conjugated Estrogen (Cream),conjugated-estrogen-cream-1780,Female Sex hormones,Vaginitis
1429,Colistimethate Sodium,colistimethate-sodium-1429,Other antibacterial preparation,Bacterial infections
252,Colecalciferol [Vitamin D3],colecalciferol-vitamin-d3-252,Vitamin in bone formation,Rickets
303,Colchicine,colchicine-303,Drugs used in Gout,Vasculitis
300,Cod Liver Oil,cod-liver-oil-300,Specific combined vitamin preparations,Vitamin A deficiency
902,Coal Tar Solution,coal-tar-solution-902,Coal-tar preparations,Seborrhea
299,Coal Tar + Precipitated Sulphur + Salicylic Acid,coal-tar-precipitated-sulphur-salicylic-acid-299,Coal-tar preparations,Seborrhoeic dermatitis
298,Coal Tar,coal-tar-298,Coal-tar preparations,Seborrhoeic dermatitis
1244,Coagulation Factor VIIa [Eptacog Alfa],coagulation-factor-viia-eptacog-alfa-1244,Anti-fibrinolytic drugs,Hemophilia
297,Clozapine,clozapine-297,Atypical neuroleptic drugs,Severe anxiety disorders
292,Cloxacillin Sodium,cloxacillin-sodium-292,Penicillinase-resistant penicillins,UTI caused by Staphylococcus Aureus
1607,Clove oil,clove-oil-1607,Oral preparations,Pharyngitis
290,Clotrimazole + Hydrocortisone,clotrimazole-hydrocortisone-290,Hydrocortisone & Combined preparations,Dermatophytosis
291,Clotrimazole (Vaginal tablet),clotrimazole-vaginal-tablet-291,Topical Antifungal preparations,Vulvovaginal candidiasis
1785,Clotrimazole (Vaginal suppository),clotrimazole-vaginal-suppository-1785,Topical Antifungal preparations,Vaginitis
289,Clotrimazole (Topical),clotrimazole-topical-289,Drugs for subcutaneous and mycoses,Superficial dermatophyte infections and pityriasis versicolor
287,Clotrimazole (Eye ointment),clotrimazole-eye-ointment-287,Ophthalmic Anti-fungal Products,Fungal eye infections
288,Clotrimazole (Ear drop),clotrimazole-ear-drop-288,Aural Anti-fungal preparations,Fungal infections
2071,Dacomitinib,dacomitinib-2071,Cytotoxic Chemotherapy,Metastatic non-small cell lung cancer
1302,Daclatasvir + Sofosbuvir,daclatasvir-sofosbuvir-1302,Hepatic viral infections (Hepatitis C),Direct acting antiviral agent (DAA) against the hepatitis C virus
316,Daclatasvir,daclatasvir-316,Hepatic viral infections (Hepatitis C),Chronic hepatitis C
1388,Dacarbazine,dacarbazine-1388,Cytotoxic Chemotherapy,Metastatic melanoma
1304,Dabigatran Etexilate Mesylate,dabigatran-etexilate-mesylate-1304,Fibrinolytics (Thrombolytics),Stroke
1790,D-chiro-inositol,d-chiro-inositol-1790,Trophic Hormones & Related Synthetic Drugs,Polycystic ovarian syndrome
315,Cytarabine,cytarabine-315,Cytotoxic Chemotherapy,Non-Hodgkin lymphoma
324,Cyproterone Acetate + Ethinyl Estradiol,cyproterone-acetate-ethinyl-estradiol-324,Oral Hormonal preparations for Acne,Prostate carcinoma
1195,Cyclosporine (Ophthalmic),cyclosporine-ophthalmic-1195,Drugs for Dry eyes,Scleritis
1194,Cyclosporine,cyclosporine-1194,Vaccines; Anti-sera & Immunoglobulin,Urticaria
1204,Cyclophosphamide,cyclophosphamide-1204,Cytotoxic Chemotherapy,Vasculitis
1851,Cyclopentolate Hydrochloride,cyclopentolate-hydrochloride-1851,Anticholinergics,Mydriasis
312,Cyclobenzaprine Hydrochloride,cyclobenzaprine-hydrochloride-312,Locally acting Skeletal Muscle Relaxants,Muscle spasm
2057,Cyclizine Hydrochloride,cyclizine-hydrochloride-2057,Anti-emetic drugs,Motion sickness
311,Cyanocobalamin,cyanocobalamin-311,Vitamin-B preparations,Vitamin B12 deficiency
306,Crotamiton,crotamiton-306,Parasiticidal preparations,Scabies
1379,Crizotinib,crizotinib-1379,Targeted Cancer Therapy,Metastatic non-small cell lung cancer
1803,Crisaborole,crisaborole-1803,Topical anti-inflammatory preparations,Atopic dermatitis
1656,COVID Vaccine,covid-vaccine-1656,Vaccines; Anti-sera & Immunoglobulin,Increases immunity
1873,Copper Peptide + Procapil + Niacinamide + Biotin + L-Arginine,copper-peptide-procapil-niacinamide-biotin-l-arginine-1873,Miscellaneous topical agents,Hair loss
329,Desloratadine,desloratadine-329,Non-sedating antihistamines,Watery eye
1664,Dequalinium Chloride,dequalinium-chloride-1664,Other antibacterial preparation,Bacterial vaginosis
327,Denosumab,denosumab-327,Inhibiting bone resorption,Prostate carcinoma
1975,Delafloxacin,delafloxacin-1975,4-Quinolone preparations,Skin and skin sructure infections
1970,Dehydroepiandrosterone,dehydroepiandrosterone-1970,,
1795,Degarelix Acetate,degarelix-acetate-1795,Drugs affecting (inhibiting) gonadotrophin,Prostate carcinoma
326,Deflazacort,deflazacort-326,Glucocorticoids,Allergic and inflammatory disorders
1465,Deferoxamine Mesylate,deferoxamine-mesylate-1465,Carboxylic acids and derivatives,Iron overload
325,Deferiprone,deferiprone-325,Antidote preparations,
323,Deferasirox,deferasirox-323,Antidote preparations,Iron overload
1230,Daunorubicin,daunorubicin-1230,Cytotoxic Chemotherapy,Leukemia
1292,Dasatinib,dasatinib-1292,Targeted Cancer Therapy,Chronic myeloid leukaemia
322,Darifenacin,darifenacin-322,BPH/ Urinary retention/ Urinary incontinence,Urinary frequency and urgency
1376,Darbepoetin Alfa,darbepoetin-alfa-1376,Haematopoietic Agents,Anaemia
1550,Dapsone,dapsone-1550,Acne treatment preparations,Acne vulgaris
320,Dapoxetine Hydrochloride,dapoxetine-hydrochloride-320,Drugs for Erectile Dysfunction,Premature ejaculation
339,Dapagliflozin Propanediol,dapagliflozin-propanediol-339,Sodium-glucose Cotransporter-2 (SGLT2) Inhibitors,Type 2 DM
319,Dantrolene Sodium,dantrolene-sodium-319,Centrally acting Skeletal Muscle Relaxants,Stroke
318,Danazol,danazol-318,Drugs affecting (inhibiting) gonadotrophin,Uterine fibroids
317,Dalteparin Sodium,dalteparin-sodium-317,Parenteral anti-coagulants,Unstable angina
346,Dextromethorphan + Pseudoephedrine + Triprolidine,dextromethorphan-pseudoephedrine-triprolidine-346,Combined cough suppressants,Non-productive cough
1303,Dextromethorphan + Phenylephrine + Triprolidine,dextromethorphan-phenylephrine-triprolidine-1303,Combined cough suppressants,Sneezing
348,Dextran + Sodium Chloride,dextran-sodium-chloride-348,Plasma expanders,Venous thrombosis
345,Dextran + Hypromellose,dextran-hypromellose-345,Drugs for Dry eyes,Dry eye
349,Dextran + Dextrose,dextran-dextrose-349,Plasma expanders,Venous thrombosis
1565,Dexpanthenol,dexpanthenol-1565,Miscellaneous topical agents,Scaly or itchy scalps
1403,Dexmedetomidine Hydrochloride,dexmedetomidine-hydrochloride-1403,Miscellaneous sedatives & hypnotics,Sedation
344,Dexlansoprazole,dexlansoprazole-344,Proton Pump Inhibitor,Oesophagitis
343,Dexketoprofen,dexketoprofen-343,Drugs for Osteoarthritis,Rheumatic disorders
342,Dexibuprofen,dexibuprofen-342,Drugs for Osteoarthritis,Rheumatic disorders
341,Dexamethasone + Tobramycin,dexamethasone-tobramycin-341,Ophthalmic steroid - antibiotic combined preparations,Pink eye
340,Dexamethasone + Neomycin Sulphate + Polymyxin B Sulphate,dexamethasone-neomycin-sulphate-polymyxin-b-sulphate-340,Ophthalmic steroid - antibiotic combined preparations,Ocular infections
238,Dexamethasone + Chloramphenicol,dexamethasone-chloramphenicol-238,Ophthalmic steroid - antibiotic combined preparations,Post-herpetic keratitis
337,Dexamethasone (Ophthalmic),dexamethasone-ophthalmic-337,,
335,Dexamethasone,dexamethasone-335,,
334,Desvenlafaxine,desvenlafaxine-334,Serotonin-norepinephrine reuptake inhibitor (SNRI),Depression
1402,Desoximetasone,desoximetasone-1402,Other Topical corticosteroids,Anti - inflammatory treatment
333,Desonide,desonide-333,Other Topical corticosteroids,Atopic dermatitis
331,Desogestrel,desogestrel-331,Oral Contraceptive preparations,Oral contraceptives
1794,Desmopressin Acetate,desmopressin-acetate-1794,Synthetic analogue of ADH,Diabetes insipidus
365,Difluprednate,difluprednate-365,Ophthalmic Steroid preparations,Ocular inflammation
1854,Diflorasone Diacetate,diflorasone-diacetate-1854,Other Topical corticosteroids,Pruritic skin conditions
363,Diethylcarbamazine Citrate,diethylcarbamazine-citrate-363,Other Anti-protozoals,Toxocariasis
1864,Dienogest + Estradiol Valerate,dienogest-estradiol-valerate-1864,Female Sex hormones,Contraception
362,Dienogest,dienogest-362,Female Sex hormones,Endometriosis
361,Dicycloverine Hydrochloride,dicycloverine-hydrochloride-361,Anticholinergics (antimuscarinics)/ Anti-spasmodics,Spasm
358,Diclofenac Sodium + Misoprostol,diclofenac-sodium-misoprostol-358,Drugs for Osteoarthritis,Rheumatoid arthritis
1453,Diclofenac Sodium + Methyl Salicylate + Linseed Oil + Menthol,diclofenac-sodium-methyl-salicylate-linseed-oil-menthol-1453,Non-steroidal Anti-inflammatory Drugs (NSAIDs),Pain and inflammation associated with musculoskeletal and joint disorders
356,Diclofenac Sodium + Lidocaine Hydrochloride,diclofenac-sodium-lidocaine-hydrochloride-356,Drugs for Osteoarthritis,Osteoarthritis (degenerative arthritis)
359,Diclofenac Sodium (Ophthalmic),diclofenac-sodium-ophthalmic-359,Ophthalmic Non-Steroid drugs,Ocular inflammation
357,Diclofenac Sodium,diclofenac-sodium-357,Drugs for Osteoarthritis,Tendonitis
1184,Diclofenac Potassium,diclofenac-potassium-1184,Drugs for Osteoarthritis,Tendonitis
1483,Diclofenac Diethylamine + Mephenesin + Menthol + Methyl Salicylate + Turpentine Oil,diclofenac-diethylamine-mephenesin-menthol-methyl-salicylate-turpentine-oil-1483,Topical Analgesics,Pain
1852,Diazoxide,diazoxide-1852,Combination Oral hypoglycemic preparations,Hypoglycemia
355,Diazepam,diazepam-355,Primary anti-epileptic drugs,Severe anxiety disorders
1260,Diabasic Sodium Phosphate + Monobasic Sodium Phosphate,diabasic-sodium-phosphate-monobasic-sodium-phosphate-1260,Enema & bowel cleansing solution,Cleansing of the colon
179,Dextrose & Hartmann's Solution,dextrose-hartmanns-solution-179,Intravenous fluid preparations,Source of water
350,Dextrose,dextrose-350,Intravenous fluid preparations,Fluid and electrolyte imbalance
1774,Dextromethorphan Hydrobromide + Guaifenesin,dextromethorphan-hydrobromide-guaifenesin-1774,Combined cough expectorants,Dry cough
347,Dextromethorphan Hydrobromide,dextromethorphan-hydrobromide-347,Cough suppressant,Non-productive cough
386,Donepezil Hydrochloride,donepezil-hydrochloride-386,Drugs for Dementia,Mild to moderate dementia in Alzheimerâ€™s disease
380,Domperidone Maleate,domperidone-maleate-380,Motility Stimulants,Vomiting
378,Docusate Sodium (Oral),docusate-sodium-oral-378,Stool softener,Constipation
1813,Docusate Sodium (Ear drop),docusate-sodium-ear-drop-1813,Cerumenolytic,Removal of earwax
376,Docetaxel Trihydrate,docetaxel-trihydrate-376,Cytotoxic Chemotherapy,Stomach carcinoma
375,Dobutamine,dobutamine-375,Inotropic-sympathomimetics,Heart failure
147,Dithranol + Boric Acid + Salicylic Acid,dithranol-boric-acid-salicylic-acid-147,Dithranol & combined preparations,Psoriasis
373,Disopyramide Phosphate,disopyramide-phosphate-373,Membrane stabilizing agent (Sodium channel blockers),Ventricular tachycardia
371,Dipyridamole,dipyridamole-371,Anti-platelet drugs,Transient ischemic attack
1974,Diphtheria; Tetanus; Pertussis; Poliomyelitis Vaccine,diphtheria-tetanus-pertussis-poliomyelitis-vaccine-1974,Vaccines; Anti-sera & Immunoglobulin,Diphtheria
1973,Diphtheria; Tetanus; Pertussis; Hepatitis B; Poliomyelitis; Influenzae Vaccine,diphtheria-tetanus-pertussis-hepatitis-b-poliomyelitis-influenzae-vaccine-1973,Vaccines; Anti-sera & Immunoglobulin,Diphtheria
1206,Diphtheria + Pertussis + Tetanus [DPT],diphtheria-pertussis-tetanus-dpt-1206,Vaccines; Anti-sera & Immunoglobulin,Tetanus
382,Diphenhydramine Hydrochloride + Zinc Acetate,diphenhydramine-hydrochloride-zinc-acetate-382,Local Antipruritic,Sunburn
370,Diphenhydramine Hydrochloride,diphenhydramine-hydrochloride-370,Sedating Anti-histamine,Wheezing
1463,Diphenhydramine + Levomenthol,diphenhydramine-levomenthol-1463,Combined cough expectorants,Productive cough
1476,Diphenhydramine + Dextromethorphan + Levomenthol,diphenhydramine-dextromethorphan-levomenthol-1476,Combined cough expectorants,Dry cough
1839,Diltiazem Hydrochloride (SR tablet),diltiazem-hydrochloride-sr-tablet-1839,Calcium-channel blockers,Supraventricular tachycardia
368,Diltiazem Hydrochloride (FC tablet),diltiazem-hydrochloride-fc-tablet-368,Calcium-channel blockers,Tachycardia
367,Diloxanide Furoate,diloxanide-furoate-367,Amoebicides,Intestinal amoebiasis
366,Digoxin,digoxin-366,Positive Inotropic drugs,Supraventricular arrhythmias
1404,Eflornithine Hydrochloride,eflornithine-hydrochloride-1404,Hair Growth Inhibitor,Reduction of unwanted facial hair in women
404,Efavirenz,efavirenz-404,Drugs for HIV / Anti-retroviral drugs,HIV infection
403,Econazole Nitrate + Triamcinolone Acetonide,econazole-nitrate-triamcinolone-acetonide-403,Triamcinolone & Combined preparations,Tinea corporis (ringworm)
402,Econazole Nitrate,econazole-nitrate-402,Topical Antifungal preparations,Vulvovaginal candidiasis
401,Ebastine,ebastine-401,Non-sedating antihistamines,Urticaria
400,Dydrogesterone,dydrogesterone-400,Female Sex hormones,Uterine bleeding
399,Dutasteride,dutasteride-399,BPH/ Urinary retention/ Urinary incontinence,Benign prostatic hyperplasia (BPH)
398,Duloxetine Hydrochloride,duloxetine-hydrochloride-398,Serotonin-norepinephrine reuptake inhibitor (SNRI),Urinary incontinence
1599,Dulaglutide,dulaglutide-1599,GLP-1 receptor agonists,Type 2 DM
397,Drotaverine,drotaverine-397,Anticholinergics,Tetanus
1663,Drospirenone,drospirenone-1663,Oral Contraceptive preparations,Oral contraceptives
395,Doxylamine Succinate,doxylamine-succinate-395,Sedating Anti-histamine,Watery eye
394,Doxycycline Hydrochloride,doxycycline-hydrochloride-394,Tetracycline group of drugs,Uncomplicated gonorrhoea
393,Doxorubicin Hydrochloride,doxorubicin-hydrochloride-393,Cytotoxic Chemotherapy,Small cell lung cancer
392,Doxophylline,doxophylline-392,Bronchodilator,Severe bronchospasm
391,Doxepin (Topical),doxepin-topical-391,Local Antipruritic,Pruritus
390,Doxepin (Oral),doxepin-oral-390,Tricyclic & related anti-depressant drugs,Insomnia and sleep disturbances
389,Dorzolamide + Timolol,dorzolamide-timolol-389,Drugs for miotics and glaucoma,Open angle glaucoma
388,Doripenem,doripenem-388,Other beta-lactam Antibiotics,Urinary tract infection
387,Dopamine Hydrochloride,dopamine-hydrochloride-387,Inotropic-sympathomimetics,Hypotension
424,Eptifibatide,eptifibatide-424,Anti-platelet drugs,Unstable angina
423,Epoetin Beta,epoetin-beta-423,Drugs for Haemolytic Hypoplastic & Renal Anemia,To reduce the need for allogenic blood tranfusion
421,Eplerenone,eplerenone-421,Potassium-sparing diuretics,Oedema
420,Epirubicin Hydrochloride,epirubicin-hydrochloride-420,Cytotoxic Chemotherapy,Stomach carcinoma
419,Epinastine Hydrochloride,epinastine-hydrochloride-419,Ophthalmic Non-Steroid drugs,Conjunctivitis
418,Ephedrine Hydrochloride,ephedrine-hydrochloride-418,Other adrenoceptor stimulants,Hypotension
417,Eperisone Hydrochloride,eperisone-hydrochloride-417,Centrally acting Skeletal Muscle Relaxants,Rigidity
416,Epalrestat,epalrestat-416,Aldose reductase inhibitor,Neuropathy
413,Entecavir,entecavir-413,Hepatic viral infections (Hepatitis B),Chronic hepatitis B
412,Entacapone,entacapone-412,Antiparkinson drugs,Parkinsonâ€™s disease
411,Enoxaparin Sodium,enoxaparin-sodium-411,Parenteral anti-coagulants,Venous thromboembolism
1556,Encephalitis Vaccine,encephalitis-vaccine-1556,Vaccines; Anti-sera & Immunoglobulin,Encephalitis virus vaccine
409,Enalapril Maleate,enalapril-maleate-409,Angiotensin-converting enzyme (ACE) inhibitors,Hypertension
1580,Empagliflozin + Metformin Hydrochloride,empagliflozin-metformin-hydrochloride-1580,Combination Oral hypoglycemic preparations,Type 2 DM
2046,Empagliflozin + Linagliptin,empagliflozin-linagliptin-2046,,
1275,Empagliflozin,empagliflozin-1275,Sodium-glucose Cotransporter-2 (SGLT2) Inhibitors,Type 2 DM
415,Emollient [Cepalin+Allantoin],emollient-cepalinallantoin-415,Emollients & combined preparations,Skin moisturization
1469,Eluxadoline,eluxadoline-1469,Prokinetic drugs,Reduce peristalsis
414,Eltrombopag Olamine,eltrombopag-olamine-414,Haemostatic drugs,Idiopathic thrombocytopenic purpura
1647,Elagolix,elagolix-1647,Gonadotropin-releasing hormone (GnRH) antagonist,Endometriosis
435,Estriol (Oral),estriol-oral-435,Female Sex hormones,Vaginitis
1832,Estradiol Valerate,estradiol-valerate-1832,Female Sex hormones,Ovulation induction
434,Estradiol,estradiol-434,Female Sex hormones,Vaginitis
1462,Esomeprazole + Amoxicillin + Clarithromycin,esomeprazole-amoxicillin-clarithromycin-1462,Anti H. pylori drugs,H. pylori infection
1669,Esomeprazole (MUPS tablet),esomeprazole-mups-tablet-1669,,
1674,Esmolol Hydrochloride,esmolol-hydrochloride-1674,Anti adrenergic agent (Beta blockers),Tachycardia
433,Esomeprazole,esomeprazole-433,,
431,Eslicarbazepine Acetate,eslicarbazepine-acetate-431,Adjunct anti-epileptic drugs,Partial seizures
430,Escitalopram Oxalate,escitalopram-oxalate-430,SSRIs & related anti-depressant drugs,Trichotillomania
422,Erythropoietin Alfa,erythropoietin-alfa-422,Drugs for Haemolytic Hypoplastic & Renal Anemia,To reduce the need for allogenic blood tranfusion
429,Erythropoietin,erythropoietin-429,Drugs for Haemolytic Hypoplastic & Renal Anemia,Increase yield of autologous blood
428,Erythromycin (Lotion),erythromycin-lotion-428,Topical antibiotics for Acne,Diaper rash
427,Erythromycin (Oral),erythromycin-oral-427,Macrolides,Susceptible infections
2058,Ertugliflozin,ertugliflozin-2058,Sodium-glucose Cotransporter-2 (SGLT2) Inhibitors,Type 2 DM
1262,Ertapenem,ertapenem-1262,Other beta-lactam Antibiotics,Urinary tract infection
426,Erlotinib,erlotinib-426,Targeted Cancer Therapy,Pancreatic cancer
1797,Eribulin Mesylate,eribulin-mesylate-1797,Targeted Cancer Therapy,Metastatic breast carcinoma
162,Ergotamine Tartrate + Caffeine,ergotamine-tartrate-caffeine-162,Ergot Alkaloids,Acute migraine attacks
425,Ergometrine Maleate,ergometrine-maleate-425,Drugs acting on the Uterus,Uterine bleeding
1284,Erdosteine,erdosteine-1284,Cough expectorants & mucolytics,Chronic obstructive pulmonary disease (COPD)
1651,Ethyl Butylacetylaminopropionate,ethyl-butylacetylaminopropionate-1651,Miscellaneous topical agents,Insect repellent
444,Etodolac,etodolac-444,Drugs for Osteoarthritis,Rheumatoid arthritis
1585,Ethyl Alcohol + Hydrogen peroxide + Glycerol,ethyl-alcohol-hydrogen-peroxide-glycerol-1585,Bleaching and Disinfectants,Disinfection
443,Ethosuximide,ethosuximide-443,Primary anti-epileptic drugs,Seizures
1677,Ethinyl Estradiol + Lynestrenol (0.05 mg),ethinyl-estradiol-lynestrenol-005-mg-1677,Oral Contraceptive preparations,Oral contraceptives
442,Ethinyl Estradiol + Lynestrenol (0.0375 mg),ethinyl-estradiol-lynestrenol-00375-mg-442,Oral Contraceptive preparations,Oral contraceptives
441,Ethinyl Estradiol + Levonorgestrel + Ferrous Fumarate,ethinyl-estradiol-levonorgestrel-ferrous-fumarate-441,Oral Contraceptive preparations,Oral contraceptives
1179,Ethinyl Estradiol + Gestodene,ethinyl-estradiol-gestodene-1179,Oral Contraceptive preparations,Oral contraceptives
1888,Ethinyl Estradiol + Drospirenone + Levomefolate,ethinyl-estradiol-drospirenone-levomefolate-1888,Oral Contraceptive preparations,Oral contraceptives
1635,Ethinyl Estradiol + Drospirenone (HRT),ethinyl-estradiol-drospirenone-hrt-1635,Drugs for menopausal symptoms: Hormone replacement therapy,Hormone replacement therapy
396,Ethinyl Estradiol + Drospirenone (24 tablet),ethinyl-estradiol-drospirenone-24-tablet-396,Oral Contraceptive preparations,Premenstrual dysmorphic disorder
1804,Ethinyl Estradiol + Drospirenone (21 tablet),ethinyl-estradiol-drospirenone-21-tablet-1804,Oral Contraceptive preparations,Oral contraceptives
1807,Ethinyl Estradiol + Desogestrel + Ferrous Fumarate,ethinyl-estradiol-desogestrel-ferrous-fumarate-1807,Oral Contraceptive preparations,Oral contraceptives
332,Ethinyl Estradiol + Desogestrel (0.03 mg),ethinyl-estradiol-desogestrel-003-mg-332,Oral Contraceptive preparations,Oral contraceptives
1805,Ethinyl Estradiol + Desogestrel (0.02 mg),ethinyl-estradiol-desogestrel-002-mg-1805,Oral Contraceptive preparations,Oral contraceptives
1456,Ethanol + Isopropyl alcohol,ethanol-isopropyl-alcohol-1456,Bleaching and Disinfectants,Topical antiseptic
438,Ethambutol,ethambutol-438,Anti-Tubercular Chemotherapeutics,Tuberculosis
1631,Etanercept,etanercept-1631,Immunosuppressant,Rheumatoid arthritis
437,Eszopiclone,eszopiclone-437,Miscellaneous sedatives & hypnotics,Insomnia and sleep disturbances
1608,Estriol (Vaginal),estriol-vaginal-1608,Female Sex hormones,Oestrogen deficiency
461,Ferrous Ascorbate + Folic Acid + Zinc Sulfate,ferrous-ascorbate-folic-acid-zinc-sulfate-461,Iron; Vitamin & Mineral Combined preparation,Pregnancy
460,Ferrous Ascorbate,ferrous-ascorbate-460,Oral Iron preparations,Iron deficiency
1508,Ferric Pyrophosphate Citrate,ferric-pyrophosphate-citrate-1508,Parenteral Iron Preparations,Iron deficiency
1879,Ferric Derisomaltose,ferric-derisomaltose-1879,Parenteral Iron Preparations,Iron deficiency
1606,Ferric Citrate,ferric-citrate-1606,Oral Iron preparations,Iron deficiency
459,Ferric Carboxymaltose,ferric-carboxymaltose-459,Parenteral Iron Preparations,Iron deficiency anemia
1584,Fenticonazole Nitrate [Vaginal Tablet],fenticonazole-nitrate-vaginal-tablet-1584,Topical Antifungal preparations,Vulvovaginal candidiasis
458,Fenticonazole Nitrate [Vaginal Cream],fenticonazole-nitrate-vaginal-cream-458,Topical Antifungal preparations,Vulvovaginal candidiasis
455,Fentanyl Citrate,fentanyl-citrate-455,Opioid analgesics,Relieve pain
454,Fenofibrate,fenofibrate-454,Fibrates,Hypertriglyceridaemia
453,Febuxostat,febuxostat-453,Drugs used in Gout,Uric acid nephropathy
1547,Favipiravir,favipiravir-1547,Anti-viral drugs,Influenza
452,Famotidine,famotidine-452,,
451,Famciclovir,famciclovir-451,Herpes simplex & Varicella-zoster virus infections,Varicella zoster (chickenpox)
449,Ezetimibe,ezetimibe-449,Ezetimibe,Obesity
457,Everolimus,everolimus-457,Immunosuppressant,Tuberous sclerosis
1322,Eucalyptol+ Menthol + Thymol,eucalyptol-menthol-thymol-1322,Topical Analgesics,Teeth whitening
447,Eucalyptol + Menthol + Methyl Salicylate + Thymol + Sodium Fluoride,eucalyptol-menthol-methyl-salicylate-thymol-sodium-fluoride-447,Oral preparations,Plaque
446,Etoricoxib,etoricoxib-446,Non-steroidal Anti-inflammatory Drugs (NSAIDs),Rheumatoid arthritis
456,Etoposide,etoposide-456,Cytotoxic Chemotherapy,Testicular cancer
480,Fluocinolone Acetonide,fluocinolone-acetonide-480,Fluocinolone & Combined Preparations,Tularaemia
477,Flunarizine,flunarizine-477,Miscellaneous prophylactic migraine preparations,Vertigo
1405,Fludrocortisone Acetate,fludrocortisone-acetate-1405,Corticosteroid,Salt losing adrenogenital syndrome
1258,Fludarabine Phosphate,fludarabine-phosphate-1258,Cytotoxic Chemotherapy,Non-Hodgkin lymphoma
475,Fluconazole (Ophthalmic),fluconazole-ophthalmic-475,Ophthalmic Anti-fungal Products,Fungal corneal ulcers
474,Fluconazole,fluconazole-474,Drugs for subcutaneous and mycoses,Vaginal candidiasis or thrush
473,Flucloxacillin Sodium,flucloxacillin-sodium-473,Penicillinase-resistant penicillins,Wounds
2048,Flibanserin,flibanserin-2048,Serotonin-norepinephrine reuptake inhibitor (SNRI),
472,Flavoxate Hydrochloride,flavoxate-hydrochloride-472,BPH/ Urinary retention/ Urinary incontinence,Urinary frequency and urgency
2055,Finerenone,finerenone-2055,,
471,Finasteride [For B.P.H.],finasteride-for-bph-471,BPH/ Urinary retention/ Urinary incontinence,Supports normal prostate function
1220,Finasteride [For Androgenic Alopecia],finasteride-for-androgenic-alopecia-1220,Miscellaneous topical agents,Androgenic alopecia
470,Filgrastim,filgrastim-470,Haematopoietic Agents,Peripheral blood progenitor cell collection and therapy
468,Fexofenadine Hydrochloride,fexofenadine-hydrochloride-468,Non-sedating antihistamines,Urticaria
467,Ferrous Sulfate + Folic Acid + Zinc Sulfate,ferrous-sulfate-folic-acid-zinc-sulfate-467,Iron; Vitamin & Mineral Combined preparation,Iron; Folic Acid and zinc deficiency during pregnancy and lactation
466,Ferrous Sulfate + Folic Acid,ferrous-sulfate-folic-acid-466,Iron & Vitamin Combined preparations,Iron and folic acid deficiency in pregnancy
465,Ferrous Sulfate,ferrous-sulfate-465,Oral Iron preparations,Anaemia
464,Ferrous Gluconate,ferrous-gluconate-464,Oral Iron preparations,Iron deficiency anemia
463,Ferrous Fumarate + Folic acid,ferrous-fumarate-folic-acid-463,Iron & Vitamin Combined preparations,Iron deficiency anemia
462,Ferrous Fumarate,ferrous-fumarate-462,Oral Iron preparations,Iron deficiency anemia
492,Fluticasone Propionate (Nasal Spray),fluticasone-propionate-nasal-spray-492,Fluocinolone & Combined Preparations,Rhinitis
1643,Fluticasone Propionate (Inhaler),fluticasone-propionate-inhaler-1643,Fluocinolone & Combined Preparations,Asthma
491,Fluticasone Furoate,fluticasone-furoate-491,Nasal Steroid Preparations,Perennial or seasonal allergic rhinitis
490,Flutamide,flutamide-490,Hormonal Chemotherapy,Prostate carcinoma
489,Flurbiprofen,flurbiprofen-489,Drugs for Osteoarthritis,Rheumatoid arthritis
488,Flurazepam,flurazepam-488,Benzodiazepine hypnotics,Insomnia and sleep disturbances
486,Fluphenazine Decanoate,fluphenazine-decanoate-486,Phenothiazine drugs,Tourette syndrome
487,Fluphenazine + Nortriptyline,fluphenazine-nortriptyline-487,Combined anxiolytics & anti-depressant drugs,Gastric problems
485,Flupentixol + Melitracen,flupentixol-melitracen-485,Combined anxiolytics & anti-depressant drugs,Psychosis
484,Flupentixol,flupentixol-484,SSRIs & related anti-depressant drugs,Schizophrenia
483,Fluoxetine Hydrochloride,fluoxetine-hydrochloride-483,Phenothiazine related drugs,Obsessive-compulsive disorder (OCD)
5,Fluorouracil,fluorouracil-5,,
482,Fluorometholone Acetate,fluorometholone-acetate-482,Ophthalmic Steroid preparations,Ocular inflammation
1217,Fluorometholone + Tetrahydrozoline,fluorometholone-tetrahydrozoline-1217,Ophthalmic Steroid preparations,Scleritis
1216,Fluorometholone + Gentamicin,fluorometholone-gentamicin-1216,Ophthalmic steroid - antibiotic combined preparations,Ocular inflammation
551,Fluormetholone + Neomycin Sulphate,fluormetholone-neomycin-sulphate-551,Ophthalmic steroid - antibiotic combined preparations,Ocular inflammation
481,Fluorescein Sodium,fluorescein-sodium-481,Preparations for Ophthalmic diagnosis,Fitting of hard contact lenses
479,Fluocinolone Acetonide + Neomycin Sulfate,fluocinolone-acetonide-neomycin-sulfate-479,Topical Antifungal preparations,Tularaemia
478,Fluocinolone Acetonide + Hydroquinone + Tretinoin,fluocinolone-acetonide-hydroquinone-tretinoin-478,Hydroquinone Preparations,Melasma
1822,Fluocinolone Acetonide + Clioquinol,fluocinolone-acetonide-clioquinol-1822,Topical Antifungal preparations,Psoriasis
